2026-06-14 14:36:07,779 | INFO | Application started.
2026-06-14 14:36:07,779 | WARNING | This is a warning.
2026-06-14 14:36:07,779 | ERROR | This is an error.
2026-06-14 14:39:27,082 | INFO | Started task every 2 seconds.
2026-06-14 14:39:37,088 | INFO | Task stopped.
2026-06-14 14:41:32,886 | INFO | [TELEGRAM DISABLED]
🤖 GPT
BUY
NIFTY25700CE
Qty: 50
Price: ₹152.25
Reason:
EMA crossover
2026-06-14 16:33:27,172 | INFO | Started task every 5 seconds.
2026-06-14 16:33:27,276 | INFO | NIFTY=23622.9 BANKNIFTY=56814.8
2026-06-14 16:33:32,509 | INFO | NIFTY=23622.9 BANKNIFTY=56814.8
2026-06-14 16:33:37,192 | INFO | Task stopped.
2026-06-14 16:58:19,638 | INFO | Paper Trading Engine Started.
2026-06-14 16:58:20,086 | INFO | All positions squared off.
2026-06-14 16:58:22,144 | INFO | All positions squared off.
2026-06-14 16:58:24,193 | INFO | All positions squared off.
2026-06-14 16:58:26,248 | INFO | All positions squared off.
2026-06-14 16:58:28,299 | INFO | All positions squared off.
2026-06-14 16:58:30,401 | INFO | All positions squared off.
2026-06-14 16:58:32,518 | INFO | All positions squared off.
2026-06-14 16:58:34,603 | INFO | All positions squared off.
2026-06-14 16:58:36,649 | INFO | All positions squared off.
2026-06-14 16:58:38,693 | INFO | All positions squared off.
2026-06-14 16:58:40,748 | INFO | All positions squared off.
2026-06-14 16:58:42,799 | INFO | All positions squared off.
2026-06-14 16:58:44,851 | INFO | All positions squared off.
2026-06-14 16:58:46,914 | INFO | All positions squared off.
2026-06-14 16:58:49,083 | INFO | All positions squared off.
2026-06-14 16:58:51,249 | INFO | All positions squared off.
2026-06-14 16:58:53,299 | INFO | All positions squared off.
2026-06-14 16:58:55,348 | INFO | All positions squared off.
2026-06-14 16:58:57,399 | INFO | All positions squared off.
2026-06-14 16:58:59,449 | INFO | All positions squared off.
2026-06-14 16:59:01,506 | INFO | All positions squared off.
2026-06-14 16:59:03,623 | INFO | All positions squared off.
2026-06-14 16:59:05,691 | INFO | All positions squared off.
2026-06-14 16:59:07,783 | INFO | All positions squared off.
2026-06-14 16:59:09,827 | INFO | All positions squared off.
2026-06-14 16:59:11,875 | INFO | All positions squared off.
2026-06-14 16:59:13,925 | INFO | All positions squared off.
2026-06-14 16:59:15,974 | INFO | All positions squared off.
2026-06-14 16:59:18,027 | INFO | All positions squared off.
2026-06-14 16:59:20,239 | INFO | All positions squared off.
2026-06-14 16:59:22,294 | INFO | All positions squared off.
2026-06-14 16:59:24,451 | INFO | All positions squared off.
2026-06-14 16:59:26,496 | INFO | All positions squared off.
2026-06-14 16:59:28,544 | INFO | All positions squared off.
2026-06-14 16:59:30,597 | INFO | All positions squared off.
2026-06-14 16:59:32,650 | INFO | All positions squared off.
2026-06-14 16:59:34,695 | INFO | All positions squared off.
2026-06-14 16:59:38,575 | INFO | Paper Trading Engine Started.
2026-06-22 20:31:05,715 | INFO | Paper Trading Engine Started.
2026-06-22 20:41:57,696 | INFO | Paper Trading Engine Started.
2026-06-22 20:41:57,696 | ERROR | App Runner Error: name 'fyers' is not defined
2026-06-22 20:41:59,701 | ERROR | App Runner Error: name 'fyers' is not defined
2026-06-22 20:42:01,703 | ERROR | App Runner Error: name 'fyers' is not defined
2026-06-22 20:42:55,088 | INFO | Paper Trading Engine Started.
2026-07-02 14:35:15,901 | INFO | Paper Trading Engine Started.
2026-07-02 15:02:40,253 | INFO | GROK BUY NSE:NIFTY2670724150PE x25 @ 93.45
2026-07-02 15:02:46,040 | INFO | GROK SELL NSE:NIFTY2670724150PE @ 92.1 PnL -33.75
2026-07-02 15:02:49,076 | INFO | GROK BUY NSE:NIFTY2670724150PE x25 @ 92.25
2026-07-02 15:03:05,199 | INFO | GROK SELL NSE:NIFTY2670724150PE @ 91.15 PnL -27.50
2026-07-02 15:03:10,514 | INFO | GROK BUY NSE:NIFTY2670724150PE x25 @ 90.9
2026-07-02 15:04:00,542 | INFO | GROK SELL NSE:NIFTY2670724150PE @ 91.25 PnL +8.75
2026-07-02 15:04:50,753 | INFO | GROK BUY NSE:NIFTY2670724150PE x25 @ 92
2026-07-02 15:05:13,964 | INFO | GROK SELL NSE:NIFTY2670724150PE @ 91.95 PnL -1.25
2026-07-02 15:05:17,029 | INFO | GROK BUY NSE:NIFTY2670724150PE x25 @ 92.05
2026-07-02 15:07:23,564 | INFO | GROK SELL NSE:NIFTY2670724150PE @ 90.35 PnL -42.50
2026-07-02 15:07:33,439 | INFO | GROK BUY NSE:NIFTY2670724150PE x25 @ 90.15
2026-07-02 15:20:00,928 | INFO | GROK SQUARE OFF NSE:NIFTY2670724150PE @ 97.1 PnL +173.75
2026-07-02 15:20:01,705 | INFO | All positions squared off.
